"index","api_name","method","relative_path","full_url_example","module","purpose"
"16","part-part create","POST","/dynamic/api/Part_Part/create","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part_Part/create","bom","create BOM relation"
"17","part-part update","POST","/dynamic/api/Part_Part/update","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part_Part/update","bom","update BOM relation (reserved)"
"18","part-part delete","POST","/dynamic/api/Part_Part/delete","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/Part_Part/delete","bom","delete BOM relation"
"19","procedure list","POST","/dynamic/api/WorkingProcedure/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/list","procedure","query procedures"
"20","procedure get","POST","/dynamic/api/WorkingProcedure/get","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/get","procedure","query procedure detail"
"21","procedure create","POST","/dynamic/api/WorkingProcedure/create","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/create","procedure","create procedure"
"22","procedure update","POST","/dynamic/api/WorkingProcedure/update","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure/update","procedure","update procedure"
"23","procedure-equipment list","POST","/dynamic/api/WorkingProcedure_Equipment/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingProcedure_Equipment/list","procedure","query procedure-equipment relation"
"24","workingplan list","POST","/dynamic/api/WorkingPlan/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/list","workingplan","query working plan"
"25","workingplan get","POST","/dynamic/api/WorkingPlan/get","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/get","workingplan","query working plan detail"
"26","workingplan create","POST","/dynamic/api/WorkingPlan/create","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/create","workingplan","create working plan"
"27","workingplan update","POST","/dynamic/api/WorkingPlan/update","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/update","workingplan","update working plan"
"28","workingplan delete","POST","/dynamic/api/WorkingPlan/delete","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan/delete","workingplan","delete working plan"
"29","plan-procedure list","POST","/dynamic/api/WorkingPlan_WorkingProcedure/list","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan_WorkingProcedure/list","workingplan","query plan-procedure relation"
"30","plan-procedure create","POST","/dynamic/api/WorkingPlan_WorkingProcedure/create","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan_WorkingProcedure/create","workingplan","create plan-procedure relation"
"31","plan-procedure update","POST","/dynamic/api/WorkingPlan_WorkingProcedure/update","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan_WorkingProcedure/update","workingplan","update plan-procedure relation (reserved)"
"32","plan-procedure delete","POST","/dynamic/api/WorkingPlan_WorkingProcedure/delete","http://127.0.0.1:8003/rdm_497bc30622bb434c9096c34d1ba38f02_app/services/dynamic/api/WorkingPlan_WorkingProcedure/delete","workingplan","delete plan-procedure relation"
